Dataset,K,Index,Value,BestRun,BestFinalSSE
ecoli.txt,2,CH,171.160728,2,49.709180
ecoli.txt,2,SW,0.368574,2,49.709180
ecoli.txt,3,CH,187.536311,1,35.357874
ecoli.txt,3,SW,0.409588,1,35.357874
ecoli.txt,4,CH,204.893165,5,26.366642
ecoli.txt,4,SW,0.427034,5,26.366642
ecoli.txt,5,CH,188.852509,17,22.906247
ecoli.txt,5,SW,0.385847,17,22.906247
ecoli.txt,6,CH,172.228902,38,20.852386
ecoli.txt,6,SW,0.274083,38,20.852386
ecoli.txt,7,CH,162.989377,92,18.926103
ecoli.txt,7,SW,0.263082,92,18.926103
ecoli.txt,8,CH,155.092486,52,17.444256
ecoli.txt,8,SW,0.259563,52,17.444256
ecoli.txt,9,CH,144.232884,86,16.568759
ecoli.txt,9,SW,0.249659,86,16.568759
ecoli.txt,10,CH,136.714349,28,15.752354
ecoli.txt,10,SW,0.268238,28,15.752354
ecoli.txt,11,CH,131.155606,10,14.947838
ecoli.txt,11,SW,0.256749,10,14.947838
ecoli.txt,12,CH,126.133298,34,14.244540
ecoli.txt,12,SW,0.230052,34,14.244540
ecoli.txt,13,CH,121.781391,44,13.609297
ecoli.txt,13,SW,0.238859,44,13.609297
