Dataset,K,Index,Value,BestRun,BestFinalSSE
glass.txt,2,CH,144.299685,16,34.131983
glass.txt,2,SW,0.524074,16,34.131983
glass.txt,3,CH,106.215022,3,28.585243
glass.txt,3,SW,0.525244,3,28.585243
glass.txt,4,CH,99.712969,47,23.699283
glass.txt,4,SW,0.360163,47,23.699283
glass.txt,5,CH,90.290364,66,20.994080
glass.txt,5,SW,0.374265,66,20.994080
glass.txt,6,CH,88.672859,99,18.347665
glass.txt,6,SW,0.380117,99,18.347665
glass.txt,7,CH,86.312471,56,16.381302
glass.txt,7,SW,0.384302,56,16.381302
glass.txt,8,CH,84.715273,55,14.789646
glass.txt,8,SW,0.387429,55,14.789646
glass.txt,9,CH,81.403136,47,13.734315
glass.txt,9,SW,0.384589,47,13.734315
glass.txt,10,CH,77.287668,49,13.008497
glass.txt,10,SW,0.377378,49,13.008497
