Dataset,K,Index,Value,BestRun,BestFinalSSE
ionosphere.txt,2,CH,115.036023,7,628.896024
ionosphere.txt,2,SW,0.293415,7,628.896024
ionosphere.txt,3,CH,80.647981,3,571.365652
ionosphere.txt,3,SW,0.295905,3,571.365652
ionosphere.txt,4,CH,69.414617,44,522.577655
ionosphere.txt,4,SW,0.311421,44,522.577655
ionosphere.txt,5,CH,59.759864,21,494.564013
ionosphere.txt,5,SW,0.293958,21,494.564013
ionosphere.txt,6,CH,54.319523,65,467.866955
ionosphere.txt,6,SW,0.258276,65,467.866955
ionosphere.txt,7,CH,49.602651,55,448.798690
ionosphere.txt,7,SW,0.227960,55,448.798690
ionosphere.txt,8,CH,45.759894,96,432.390985
ionosphere.txt,8,SW,0.173832,96,432.390985
ionosphere.txt,9,CH,43.067271,65,416.549424
ionosphere.txt,9,SW,0.165707,65,416.549424
ionosphere.txt,10,CH,40.061630,92,406.441436
ionosphere.txt,10,SW,0.177090,92,406.441436
ionosphere.txt,11,CH,38.270813,43,393.387987
ionosphere.txt,11,SW,0.192488,43,393.387987
ionosphere.txt,12,CH,35.422881,56,389.031565
ionosphere.txt,12,SW,0.182234,56,389.031565
ionosphere.txt,13,CH,34.552154,91,375.528314
ionosphere.txt,13,SW,0.184018,91,375.528314
