Dataset,K,Index,Value,BestRun,BestFinalSSE
landsat.txt,2,CH,4229.717179,41,5069.549799
landsat.txt,2,SW,0.367831,41,5069.549799
landsat.txt,3,CH,5844.390445,10,2982.690605
landsat.txt,3,SW,0.432125,10,2982.690605
landsat.txt,4,CH,5317.480590,92,2412.491302
landsat.txt,4,SW,0.402802,92,2412.491302
landsat.txt,5,CH,5025.741207,62,2034.284636
landsat.txt,5,SW,0.339086,62,2034.284636
landsat.txt,6,CH,4917.818643,17,1741.742692
landsat.txt,6,SW,0.354965,17,1741.742692
landsat.txt,7,CH,4597.982979,8,1584.935525
landsat.txt,7,SW,0.348956,8,1584.935525
landsat.txt,8,CH,4257.533671,55,1491.465918
landsat.txt,8,SW,0.304659,55,1491.465918
landsat.txt,9,CH,3984.578457,46,1405.339746
landsat.txt,9,SW,0.295711,46,1405.339746
landsat.txt,10,CH,3797.042303,57,1327.923355
landsat.txt,10,SW,0.279851,57,1327.923355
landsat.txt,11,CH,3592.606320,24,1272.857697
landsat.txt,11,SW,0.292012,24,1272.857697
landsat.txt,12,CH,3412.184878,13,1225.333810
landsat.txt,12,SW,0.265803,13,1225.333810
landsat.txt,13,CH,3288.624177,92,1176.702342
landsat.txt,13,SW,0.252765,92,1176.702342
landsat.txt,14,CH,3131.445571,45,1142.791584
landsat.txt,14,SW,0.252613,45,1142.791584
landsat.txt,15,CH,3000.436548,78,1111.626574
landsat.txt,15,SW,0.238486,78,1111.626574
landsat.txt,16,CH,2899.179022,40,1083.824162
landsat.txt,16,SW,0.212300,40,1083.824162
landsat.txt,17,CH,2779.318222,50,1060.387605
landsat.txt,17,SW,0.212919,50,1060.387605
landsat.txt,18,CH,2662.658034,78,1041.965741
landsat.txt,18,SW,0.209022,78,1041.965741
landsat.txt,19,CH,2572.884553,10,1023.336186
landsat.txt,19,SW,0.195243,10,1023.336186
landsat.txt,20,CH,2471.865500,2,1006.148216
landsat.txt,20,SW,0.205078,2,1006.148216
landsat.txt,21,CH,2402.851155,11,990.819366
landsat.txt,21,SW,0.201096,11,990.819366
landsat.txt,22,CH,2334.042961,85,970.184884
landsat.txt,22,SW,0.210645,85,970.184884
landsat.txt,23,CH,2267.939758,26,955.762441
landsat.txt,23,SW,0.187574,26,955.762441
landsat.txt,24,CH,2213.944711,48,939.632773
landsat.txt,24,SW,0.191484,48,939.632773
landsat.txt,25,CH,2148.288673,83,926.860802
landsat.txt,25,SW,0.176281,83,926.860802
landsat.txt,26,CH,2103.072720,35,913.367714
landsat.txt,26,SW,0.188859,35,913.367714
landsat.txt,27,CH,2040.005891,34,905.315714
landsat.txt,27,SW,0.175966,34,905.315714
landsat.txt,28,CH,2006.278078,100,889.039830
landsat.txt,28,SW,0.189328,100,889.039830
landsat.txt,29,CH,1963.687391,62,874.091053
landsat.txt,29,SW,0.170313,62,874.091053
landsat.txt,30,CH,1914.482723,41,868.503786
landsat.txt,30,SW,0.171799,41,868.503786
landsat.txt,31,CH,1886.250819,5,854.049467
landsat.txt,31,SW,0.175186,5,854.049467
landsat.txt,32,CH,1841.103724,57,848.424940
landsat.txt,32,SW,0.168767,57,848.424940
landsat.txt,33,CH,1809.509208,68,836.688676
landsat.txt,33,SW,0.159214,68,836.688676
landsat.txt,34,CH,1775.431970,50,828.207355
landsat.txt,34,SW,0.157828,50,828.207355
landsat.txt,35,CH,1750.210275,92,816.316036
landsat.txt,35,SW,0.166447,92,816.316036
landsat.txt,36,CH,1715.599253,92,810.099222
landsat.txt,36,SW,0.149115,92,810.099222
landsat.txt,37,CH,1688.598815,86,800.412651
landsat.txt,37,SW,0.150787,86,800.412651
landsat.txt,38,CH,1651.017659,65,797.532985
landsat.txt,38,SW,0.147141,65,797.532985
landsat.txt,39,CH,1635.663239,7,784.126400
landsat.txt,39,SW,0.143938,7,784.126400
landsat.txt,40,CH,1600.211989,89,782.344342
landsat.txt,40,SW,0.163421,89,782.344342
landsat.txt,41,CH,1577.656692,13,773.635333
landsat.txt,41,SW,0.144203,13,773.635333
landsat.txt,42,CH,1559.609884,77,764.186757
landsat.txt,42,SW,0.155740,77,764.186757
landsat.txt,43,CH,1533.341340,74,759.256807
landsat.txt,43,SW,0.161167,74,759.256807
landsat.txt,44,CH,1513.609172,36,751.868488
landsat.txt,44,SW,0.142923,36,751.868488
landsat.txt,45,CH,1503.288653,95,740.558910
landsat.txt,45,SW,0.149518,95,740.558910
landsat.txt,46,CH,1468.057353,28,740.600287
landsat.txt,46,SW,0.145206,28,740.600287
landsat.txt,47,CH,1450.027200,65,733.856663
landsat.txt,47,SW,0.142204,65,733.856663
landsat.txt,48,CH,1427.054144,14,730.193459
landsat.txt,48,SW,0.145877,14,730.193459
landsat.txt,49,CH,1409.334504,62,725.583550
landsat.txt,49,SW,0.129069,62,725.583550
landsat.txt,50,CH,1400.994881,26,715.761016
landsat.txt,50,SW,0.145908,26,715.761016
landsat.txt,51,CH,1374.153019,61,713.945324
landsat.txt,51,SW,0.143395,61,713.945324
landsat.txt,52,CH,1365.474286,26,706.630550
landsat.txt,52,SW,0.129377,26,706.630550
landsat.txt,53,CH,1356.157137,70,697.552831
landsat.txt,53,SW,0.139428,70,697.552831
landsat.txt,54,CH,1326.557120,24,698.076361
landsat.txt,54,SW,0.149797,24,698.076361
landsat.txt,55,CH,1327.379296,23,687.264304
landsat.txt,55,SW,0.130863,23,687.264304
landsat.txt,56,CH,1291.192327,42,692.229038
landsat.txt,56,SW,0.132174,42,692.229038
landsat.txt,57,CH,1289.155759,91,682.773614
landsat.txt,57,SW,0.130015,91,682.773614
