Dataset,K,Index,Value,BestRun,BestFinalSSE
letter_recognition.txt,2,CH,4746.654519,34,6142.221572
letter_recognition.txt,2,SW,0.174987,34,6142.221572
letter_recognition.txt,3,CH,3665.740020,46,5558.839816
letter_recognition.txt,3,SW,0.158285,46,5558.839816
letter_recognition.txt,4,CH,3190.877861,73,5138.592354
letter_recognition.txt,4,SW,0.138205,73,5138.592354
letter_recognition.txt,5,CH,2934.157636,33,4788.763266
letter_recognition.txt,5,SW,0.141456,33,4788.763266
letter_recognition.txt,6,CH,2715.794901,23,4523.885777
letter_recognition.txt,6,SW,0.149579,23,4523.885777
letter_recognition.txt,7,CH,2539.280028,29,4312.942186
letter_recognition.txt,7,SW,0.149091,29,4312.942186
letter_recognition.txt,8,CH,2400.313360,71,4128.208533
letter_recognition.txt,8,SW,0.151925,71,4128.208533
letter_recognition.txt,9,CH,2304.153399,6,3948.932256
letter_recognition.txt,9,SW,0.149105,6,3948.932256
letter_recognition.txt,10,CH,2197.671485,27,3817.631457
letter_recognition.txt,10,SW,0.151492,27,3817.631457
letter_recognition.txt,11,CH,2116.381983,97,3688.353342
letter_recognition.txt,11,SW,0.147053,97,3688.353342
letter_recognition.txt,12,CH,2047.630859,90,3571.125405
letter_recognition.txt,12,SW,0.149195,90,3571.125405
letter_recognition.txt,13,CH,1973.133504,52,3473.880696
letter_recognition.txt,13,SW,0.149282,52,3473.880696
letter_recognition.txt,14,CH,1911.882793,30,3389.884888
letter_recognition.txt,14,SW,0.152274,30,3389.884888
letter_recognition.txt,15,CH,1848.878014,25,3310.699057
letter_recognition.txt,15,SW,0.152339,25,3310.699057
letter_recognition.txt,16,CH,1788.715290,33,3243.414436
letter_recognition.txt,16,SW,0.142537,33,3243.414436
letter_recognition.txt,17,CH,1737.217063,53,3176.638713
letter_recognition.txt,17,SW,0.142477,53,3176.638713
letter_recognition.txt,18,CH,1690.835574,25,3113.030868
letter_recognition.txt,18,SW,0.142206,25,3113.030868
letter_recognition.txt,19,CH,1646.604723,46,3059.233993
letter_recognition.txt,19,SW,0.145454,46,3059.233993
letter_recognition.txt,20,CH,1603.626967,14,3011.565296
letter_recognition.txt,20,SW,0.135550,14,3011.565296
letter_recognition.txt,21,CH,1574.955123,26,2948.494881
letter_recognition.txt,21,SW,0.140878,26,2948.494881
letter_recognition.txt,22,CH,1541.164427,48,2901.040485
letter_recognition.txt,22,SW,0.142018,48,2901.040485
letter_recognition.txt,23,CH,1503.550858,38,2859.590458
letter_recognition.txt,23,SW,0.149636,38,2859.590458
letter_recognition.txt,24,CH,1473.615359,28,2819.844068
letter_recognition.txt,24,SW,0.143358,28,2819.844068
letter_recognition.txt,25,CH,1454.122459,90,2766.708448
letter_recognition.txt,25,SW,0.151347,90,2766.708448
letter_recognition.txt,26,CH,1424.111834,41,2734.818061
letter_recognition.txt,26,SW,0.146792,41,2734.818061
letter_recognition.txt,27,CH,1389.470399,69,2702.614035
letter_recognition.txt,27,SW,0.148798,69,2702.614035
letter_recognition.txt,28,CH,1366.359816,89,2665.084930
letter_recognition.txt,28,SW,0.148623,89,2665.084930
letter_recognition.txt,29,CH,1340.669277,64,2638.454328
letter_recognition.txt,29,SW,0.154731,64,2638.454328
letter_recognition.txt,30,CH,1323.227468,52,2597.099504
letter_recognition.txt,30,SW,0.153286,52,2597.099504
letter_recognition.txt,31,CH,1306.529941,39,2561.862366
letter_recognition.txt,31,SW,0.150300,39,2561.862366
letter_recognition.txt,32,CH,1285.713360,51,2534.299395
letter_recognition.txt,32,SW,0.150984,51,2534.299395
letter_recognition.txt,33,CH,1264.344560,20,2511.406504
letter_recognition.txt,33,SW,0.151031,20,2511.406504
letter_recognition.txt,34,CH,1248.767722,19,2480.180006
letter_recognition.txt,34,SW,0.152825,19,2480.180006
letter_recognition.txt,35,CH,1225.858969,51,2460.513180
letter_recognition.txt,35,SW,0.154527,51,2460.513180
letter_recognition.txt,36,CH,1207.458916,15,2438.598946
letter_recognition.txt,36,SW,0.152791,15,2438.598946
letter_recognition.txt,37,CH,1191.671211,90,2412.648127
letter_recognition.txt,37,SW,0.149011,90,2412.648127
letter_recognition.txt,38,CH,1180.240248,62,2384.947314
letter_recognition.txt,38,SW,0.153435,62,2384.947314
letter_recognition.txt,39,CH,1164.758015,8,2361.065437
letter_recognition.txt,39,SW,0.155450,8,2361.065437
letter_recognition.txt,40,CH,1153.093489,24,2334.843836
letter_recognition.txt,40,SW,0.156757,24,2334.843836
letter_recognition.txt,41,CH,1148.979663,36,2298.788889
letter_recognition.txt,41,SW,0.160832,36,2298.788889
letter_recognition.txt,42,CH,1127.213404,70,2291.738369
letter_recognition.txt,42,SW,0.160351,70,2291.738369
letter_recognition.txt,43,CH,1111.733275,31,2273.057941
letter_recognition.txt,43,SW,0.159909,31,2273.057941
letter_recognition.txt,44,CH,1104.553154,41,2247.982039
letter_recognition.txt,44,SW,0.159863,41,2247.982039
letter_recognition.txt,45,CH,1087.977256,20,2233.977280
letter_recognition.txt,45,SW,0.161425,20,2233.977280
letter_recognition.txt,46,CH,1076.189269,93,2216.684805
letter_recognition.txt,46,SW,0.160295,93,2216.684805
letter_recognition.txt,47,CH,1067.045489,4,2194.675824
letter_recognition.txt,47,SW,0.157585,4,2194.675824
letter_recognition.txt,48,CH,1056.906036,34,2177.694620
letter_recognition.txt,48,SW,0.160582,34,2177.694620
letter_recognition.txt,49,CH,1049.665227,50,2155.413096
letter_recognition.txt,49,SW,0.161228,50,2155.413096
letter_recognition.txt,50,CH,1036.798096,59,2143.382529
letter_recognition.txt,50,SW,0.163180,59,2143.382529
letter_recognition.txt,51,CH,1032.550257,17,2118.343768
letter_recognition.txt,51,SW,0.164274,17,2118.343768
letter_recognition.txt,52,CH,1017.487290,94,2108.623479
letter_recognition.txt,52,SW,0.162546,94,2108.623479
letter_recognition.txt,53,CH,1005.688551,57,2096.759910
letter_recognition.txt,53,SW,0.166037,57,2096.759910
letter_recognition.txt,54,CH,1000.419185,22,2077.257770
letter_recognition.txt,54,SW,0.160856,22,2077.257770
letter_recognition.txt,55,CH,987.154415,33,2068.144624
letter_recognition.txt,55,SW,0.161907,33,2068.144624
letter_recognition.txt,56,CH,990.999061,14,2035.270813
letter_recognition.txt,56,SW,0.165717,14,2035.270813
letter_recognition.txt,57,CH,973.767182,84,2033.310536
letter_recognition.txt,57,SW,0.161846,84,2033.310536
letter_recognition.txt,58,CH,969.295995,28,2015.210763
letter_recognition.txt,58,SW,0.163748,28,2015.210763
letter_recognition.txt,59,CH,958.241293,55,2007.895297
letter_recognition.txt,59,SW,0.162008,55,2007.895297
letter_recognition.txt,60,CH,950.077204,100,1993.003954
letter_recognition.txt,60,SW,0.168598,100,1993.003954
letter_recognition.txt,61,CH,944.757799,64,1978.323223
letter_recognition.txt,61,SW,0.165974,64,1978.323223
letter_recognition.txt,62,CH,935.824597,92,1965.880822
letter_recognition.txt,62,SW,0.164178,92,1965.880822
letter_recognition.txt,63,CH,931.806801,77,1949.562785
letter_recognition.txt,63,SW,0.163600,77,1949.562785
letter_recognition.txt,64,CH,923.746706,13,1938.104073
letter_recognition.txt,64,SW,0.166033,13,1938.104073
letter_recognition.txt,65,CH,916.270933,5,1928.516492
letter_recognition.txt,65,SW,0.165241,5,1928.516492
letter_recognition.txt,66,CH,910.579850,13,1913.958106
letter_recognition.txt,66,SW,0.167169,13,1913.958106
letter_recognition.txt,67,CH,900.374361,48,1908.629299
letter_recognition.txt,67,SW,0.164483,48,1908.629299
letter_recognition.txt,68,CH,895.548984,95,1894.569468
letter_recognition.txt,68,SW,0.168310,95,1894.569468
letter_recognition.txt,69,CH,890.589581,60,1882.595138
letter_recognition.txt,69,SW,0.168963,60,1882.595138
letter_recognition.txt,70,CH,886.785906,78,1866.497965
letter_recognition.txt,70,SW,0.166927,78,1866.497965
letter_recognition.txt,71,CH,877.545647,6,1861.804157
letter_recognition.txt,71,SW,0.167436,6,1861.804157
letter_recognition.txt,72,CH,874.933380,42,1845.280259
letter_recognition.txt,72,SW,0.166607,42,1845.280259
letter_recognition.txt,73,CH,871.991248,37,1830.344705
letter_recognition.txt,73,SW,0.170457,37,1830.344705
letter_recognition.txt,74,CH,859.888027,23,1831.325816
letter_recognition.txt,74,SW,0.171299,23,1831.325816
letter_recognition.txt,75,CH,850.323488,50,1825.816811
letter_recognition.txt,75,SW,0.169390,50,1825.816811
letter_recognition.txt,76,CH,850.648287,81,1807.741691
letter_recognition.txt,76,SW,0.171343,81,1807.741691
letter_recognition.txt,77,CH,846.871906,1,1795.717287
letter_recognition.txt,77,SW,0.169591,1,1795.717287
letter_recognition.txt,78,CH,838.581994,1,1791.101954
letter_recognition.txt,78,SW,0.173940,1,1791.101954
letter_recognition.txt,79,CH,837.020733,92,1775.812646
letter_recognition.txt,79,SW,0.172917,92,1775.812646
letter_recognition.txt,80,CH,828.918769,17,1771.561980
letter_recognition.txt,80,SW,0.171994,17,1771.561980
letter_recognition.txt,81,CH,829.013596,78,1754.658406
letter_recognition.txt,81,SW,0.176096,78,1754.658406
letter_recognition.txt,82,CH,819.680768,61,1753.058927
letter_recognition.txt,82,SW,0.168181,61,1753.058927
letter_recognition.txt,83,CH,811.861315,23,1750.245072
letter_recognition.txt,83,SW,0.167112,23,1750.245072
letter_recognition.txt,84,CH,810.558747,7,1733.911446
letter_recognition.txt,84,SW,0.173151,7,1733.911446
letter_recognition.txt,85,CH,804.739402,60,1728.307158
letter_recognition.txt,85,SW,0.168832,60,1728.307158
letter_recognition.txt,86,CH,802.877620,43,1715.860797
letter_recognition.txt,86,SW,0.174422,43,1715.860797
letter_recognition.txt,87,CH,793.986142,90,1714.124867
letter_recognition.txt,87,SW,0.171315,90,1714.124867
letter_recognition.txt,88,CH,797.451655,28,1693.982005
letter_recognition.txt,88,SW,0.176432,28,1693.982005
letter_recognition.txt,89,CH,791.505935,25,1689.159920
letter_recognition.txt,89,SW,0.175671,25,1689.159920
letter_recognition.txt,90,CH,784.749674,90,1686.104580
letter_recognition.txt,90,SW,0.173034,90,1686.104580
letter_recognition.txt,91,CH,781.410775,94,1676.356589
letter_recognition.txt,91,SW,0.176346,94,1676.356589
letter_recognition.txt,92,CH,780.045217,17,1663.573243
letter_recognition.txt,92,SW,0.177979,17,1663.573243
letter_recognition.txt,93,CH,767.628728,38,1670.470467
letter_recognition.txt,93,SW,0.176965,38,1670.470467
letter_recognition.txt,94,CH,765.675196,40,1659.833289
letter_recognition.txt,94,SW,0.173343,40,1659.833289
letter_recognition.txt,95,CH,763.449378,81,1649.411980
letter_recognition.txt,95,SW,0.178470,81,1649.411980
letter_recognition.txt,96,CH,759.216953,4,1642.955262
letter_recognition.txt,96,SW,0.177761,4,1642.955262
letter_recognition.txt,97,CH,755.749535,100,1635.423721
letter_recognition.txt,97,SW,0.173601,100,1635.423721
letter_recognition.txt,98,CH,751.358144,17,1630.071459
letter_recognition.txt,98,SW,0.174220,17,1630.071459
letter_recognition.txt,99,CH,743.765191,45,1628.817715
