Dataset,K,Index,Value,BestRun,BestFinalSSE
segmentation.txt,2,CH,1818.726456,14,1024.989186
segmentation.txt,2,SW,0.466949,14,1024.989186
segmentation.txt,3,CH,1670.779068,70,745.333234
segmentation.txt,3,SW,0.323483,70,745.333234
segmentation.txt,4,CH,1843.722725,36,536.911012
segmentation.txt,4,SW,0.383185,36,536.911012
segmentation.txt,5,CH,1647.545456,95,472.628324
segmentation.txt,5,SW,0.348731,95,472.628324
segmentation.txt,6,CH,1499.908164,67,428.786353
segmentation.txt,6,SW,0.334783,67,428.786353
segmentation.txt,7,CH,1425.456636,72,387.006352
segmentation.txt,7,SW,0.333352,72,387.006352
segmentation.txt,8,CH,1327.452521,8,362.201524
segmentation.txt,8,SW,0.340421,8,362.201524
segmentation.txt,9,CH,1249.949606,21,341.133758
segmentation.txt,9,SW,0.326540,21,341.133758
segmentation.txt,10,CH,1193.086245,92,321.708875
segmentation.txt,10,SW,0.292426,92,321.708875
segmentation.txt,11,CH,1132.922944,90,307.864213
segmentation.txt,11,SW,0.312845,90,307.864213
segmentation.txt,12,CH,1107.359340,24,289.719781
segmentation.txt,12,SW,0.287020,24,289.719781
segmentation.txt,13,CH,1073.872084,95,275.980084
segmentation.txt,13,SW,0.290264,95,275.980084
segmentation.txt,14,CH,1062.624628,100,260.147053
segmentation.txt,14,SW,0.287060,100,260.147053
segmentation.txt,15,CH,1023.604828,3,251.822787
segmentation.txt,15,SW,0.277837,3,251.822787
segmentation.txt,16,CH,1013.144157,52,239.234759
segmentation.txt,16,SW,0.288382,52,239.234759
segmentation.txt,17,CH,982.913255,80,232.199239
segmentation.txt,17,SW,0.291357,80,232.199239
segmentation.txt,18,CH,960.955790,58,224.565435
segmentation.txt,18,SW,0.280435,58,224.565435
segmentation.txt,19,CH,931.212737,17,219.329001
segmentation.txt,19,SW,0.275644,17,219.329001
segmentation.txt,20,CH,937.358145,43,207.833973
segmentation.txt,20,SW,0.296377,43,207.833973
segmentation.txt,21,CH,913.739150,70,203.005627
segmentation.txt,21,SW,0.297524,70,203.005627
segmentation.txt,22,CH,887.816670,96,199.457303
segmentation.txt,22,SW,0.290183,96,199.457303
segmentation.txt,23,CH,872.264004,74,194.287346
segmentation.txt,23,SW,0.265679,74,194.287346
segmentation.txt,24,CH,862.293196,76,188.620801
segmentation.txt,24,SW,0.292153,76,188.620801
segmentation.txt,25,CH,838.931675,50,185.922385
segmentation.txt,25,SW,0.292179,50,185.922385
segmentation.txt,26,CH,827.634431,95,181.484945
segmentation.txt,26,SW,0.288664,95,181.484945
segmentation.txt,27,CH,811.179487,6,178.317967
segmentation.txt,27,SW,0.275516,6,178.317967
segmentation.txt,28,CH,807.724233,8,172.722761
segmentation.txt,28,SW,0.280258,8,172.722761
segmentation.txt,29,CH,808.070516,49,167.157693
segmentation.txt,29,SW,0.302880,49,167.157693
segmentation.txt,30,CH,787.951028,69,165.690667
segmentation.txt,30,SW,0.267511,69,165.690667
segmentation.txt,31,CH,789.326393,24,160.317799
segmentation.txt,31,SW,0.282996,24,160.317799
segmentation.txt,32,CH,760.405074,29,160.811294
segmentation.txt,32,SW,0.283126,29,160.811294
segmentation.txt,33,CH,750.141245,99,158.129381
segmentation.txt,33,SW,0.269261,99,158.129381
segmentation.txt,34,CH,759.448807,25,151.880046
segmentation.txt,34,SW,0.282995,25,151.880046
