Dataset,K,Index,Value,BestRun,BestFinalSSE
vehicle.txt,2,CH,702.578530,32,315.585674
vehicle.txt,2,SW,0.403286,32,315.585674
vehicle.txt,3,CH,549.866216,95,250.935089
vehicle.txt,3,SW,0.303884,95,250.935089
vehicle.txt,4,CH,445.792991,51,223.549981
vehicle.txt,4,SW,0.254145,51,223.549981
vehicle.txt,5,CH,384.549665,54,204.883484
vehicle.txt,5,SW,0.213724,54,204.883484
vehicle.txt,6,CH,343.282997,34,190.110514
vehicle.txt,6,SW,0.216869,34,190.110514
vehicle.txt,7,CH,315.556953,14,177.476522
vehicle.txt,7,SW,0.221129,14,177.476522
vehicle.txt,8,CH,293.865104,68,166.859553
vehicle.txt,8,SW,0.222570,68,166.859553
vehicle.txt,9,CH,278.329464,80,158.030162
vehicle.txt,9,SW,0.195328,80,158.030162
vehicle.txt,10,CH,273.648595,45,146.569572
vehicle.txt,10,SW,0.196849,45,146.569572
vehicle.txt,11,CH,262.759536,23,139.487907
vehicle.txt,11,SW,0.202755,23,139.487907
vehicle.txt,12,CH,257.102581,96,131.551425
vehicle.txt,12,SW,0.203267,96,131.551425
vehicle.txt,13,CH,248.386217,57,126.500801
vehicle.txt,13,SW,0.210949,57,126.500801
vehicle.txt,14,CH,239.965513,48,121.709064
vehicle.txt,14,SW,0.199566,48,121.709064
vehicle.txt,15,CH,233.454523,33,117.159310
vehicle.txt,15,SW,0.202972,33,117.159310
vehicle.txt,16,CH,227.711078,53,113.039750
vehicle.txt,16,SW,0.207137,53,113.039750
vehicle.txt,17,CH,221.906938,96,109.158776
vehicle.txt,17,SW,0.207136,96,109.158776
vehicle.txt,18,CH,214.826598,74,106.900711
vehicle.txt,18,SW,0.203860,74,106.900711
vehicle.txt,19,CH,209.341793,38,104.076436
vehicle.txt,19,SW,0.205287,38,104.076436
vehicle.txt,20,CH,203.477668,33,101.705363
vehicle.txt,20,SW,0.200290,33,101.705363
vehicle.txt,21,CH,199.566013,77,99.123221
vehicle.txt,21,SW,0.203441,77,99.123221
