Dataset,K,Index,Value,BestRun,BestFinalSSE
wine.txt,2,CH,84.708504,9,64.537667
wine.txt,2,SW,0.298722,9,64.537667
wine.txt,3,CH,83.373748,29,48.954036
wine.txt,3,SW,0.301346,29,48.954036
wine.txt,4,CH,65.852046,17,44.769331
wine.txt,4,SW,0.259937,17,44.769331
wine.txt,5,CH,54.964201,65,42.098596
wine.txt,5,SW,0.244650,65,42.098596
wine.txt,6,CH,48.113394,29,39.855640
wine.txt,6,SW,0.203888,29,39.855640
wine.txt,7,CH,43.261781,54,37.940009
wine.txt,7,SW,0.209567,54,37.940009
wine.txt,8,CH,39.896207,45,36.173786
wine.txt,8,SW,0.137590,45,36.173786
wine.txt,9,CH,37.706076,68,34.327780
wine.txt,9,SW,0.146745,68,34.327780
