Dataset,K,Index,Value,BestRun,BestFinalSSE
yeast.txt,2,CH,387.672986,91,129.625140
yeast.txt,2,SW,0.247650,91,129.625140
yeast.txt,3,CH,328.367176,10,113.165153
yeast.txt,3,SW,0.243249,10,113.165153
yeast.txt,4,CH,308.627568,21,100.258654
yeast.txt,4,SW,0.247642,21,100.258654
yeast.txt,5,CH,301.828815,40,89.862885
yeast.txt,5,SW,0.193844,40,89.862885
yeast.txt,6,CH,294.311659,93,81.864995
yeast.txt,6,SW,0.199217,93,81.864995
yeast.txt,7,CH,314.485124,33,71.797200
yeast.txt,7,SW,0.202468,33,71.797200
yeast.txt,8,CH,325.178211,94,64.139068
yeast.txt,8,SW,0.214933,94,64.139068
yeast.txt,9,CH,309.367049,100,61.108686
yeast.txt,9,SW,0.180454,100,61.108686
yeast.txt,10,CH,294.364769,60,58.407151
yeast.txt,10,SW,0.184156,60,58.407151
yeast.txt,11,CH,281.084898,98,56.128810
yeast.txt,11,SW,0.181934,98,56.128810
yeast.txt,12,CH,269.186975,44,54.236361
yeast.txt,12,SW,0.173659,44,54.236361
yeast.txt,13,CH,260.066975,32,52.327273
yeast.txt,13,SW,0.170469,32,52.327273
yeast.txt,14,CH,251.590288,8,50.735272
yeast.txt,14,SW,0.151237,8,50.735272
yeast.txt,15,CH,244.638350,55,49.085159
yeast.txt,15,SW,0.172732,55,49.085159
yeast.txt,16,CH,235.385723,44,47.989866
yeast.txt,16,SW,0.159347,44,47.989866
yeast.txt,17,CH,232.298710,65,46.294309
yeast.txt,17,SW,0.163788,65,46.294309
yeast.txt,18,CH,223.646014,88,45.493806
yeast.txt,18,SW,0.173594,88,45.493806
yeast.txt,19,CH,219.778552,25,44.163098
yeast.txt,19,SW,0.159489,25,44.163098
yeast.txt,20,CH,213.733252,36,43.313413
yeast.txt,20,SW,0.157479,36,43.313413
yeast.txt,21,CH,205.993204,95,42.740169
yeast.txt,21,SW,0.154507,95,42.740169
yeast.txt,22,CH,203.746328,38,41.608599
yeast.txt,22,SW,0.161543,38,41.608599
yeast.txt,23,CH,198.232422,48,40.875660
yeast.txt,23,SW,0.158391,48,40.875660
yeast.txt,24,CH,194.058589,3,40.315092
yeast.txt,24,SW,0.151540,3,40.315092
yeast.txt,25,CH,191.453789,94,39.386699
yeast.txt,25,SW,0.153661,94,39.386699
yeast.txt,26,CH,188.723710,47,38.585399
yeast.txt,26,SW,0.152582,47,38.585399
yeast.txt,27,CH,182.918834,75,38.223731
yeast.txt,27,SW,0.147229,75,38.223731
